Film Adı,Yönetmen,IMDb Puanı,Vizyona Giriş Yılı,Film Türü,Izleyici Sayısı,Ülke,Yayınlanma Mevsimi,Yerli/Yabancı
The Guilty,Gustav Møller,7.5,2018,Dram,163530,Danimarka,Yaz,Yabancı
Everybody Knows,Asghar Farhadi,6.9,2018,Dram,437656,İspanya,Yaz,Yabancı
Capernaum,Nadine Labaki,8.4,2018,Dram,102394,Lübnan,Yaz,Yabancı
Never Look Away,Florian Henckel von Donnersmarck,7.7,2018,Dram,424738,Almanya,Yaz,Yabancı
Sorry Angel,Christophe Honoré,6.8,2018,Dram,514173,Fransa,Yaz,Yabancı
Pomegranate Orchard,Gabil,7.4,2018,Dram,182294,Türkiye,Yaz,Yabancı
A Letter to the President,Roya Sadat,7.3,2018,Dram,529137,Afganistan,Yaz,Yabancı
Daybreak,Gentian Koçi,6.9,2018,Dram,37656,Arnavutluk,Yaz,Yabancı
Road to Istanbul,Rachid Bouchareb,6.2,2018,Dram,24738,Fransa,Yaz,Yabancı
Roma,Alfonso Cuarón,8,2018,Dram,200000,Meksika/ABD,Yaz,Yabancı
Phantom Thread,Paul Thomas Anderson,7.8,2018,Dram,150000,ABD,Sonbahar,Yabancı
Burning,Lee Chang-dong,7.9,2018,Dram,120000,Kore,Yaz,Yabancı
Cold War,Paweł Pawlikowski,7.7,2018,Romantik,130000,Polonya/ABD,Yaz,Yabancı
First Reformed,Paul Schrader,7.5,2018,Dram,110000,ABD,Yaz,Yabancı
Revenge,Coralie Fargeat,7.6,2018,Dram,140000,Fransa,Yaz,Yabancı
Foxtrot,Samuel Maoz,7.4,2018,Dram,100000,İsrail,Yaz,Yabancı
Loveless,Andrey Zvyagintsev,7.3,2018,Dram,120000,Rusya,Yaz,Yabancı
Lean on Pete,Andrew Haigh,7.2,2018,Dram,110000,İngiltere,Yaz,Yabancı
Badhaai Ho,Amit Sharma,7.1,2018,Dram,150000,Hindistan,Yaz,Yabancı
Godzilla: The Planet Eater,Kôbun Shiga,6.8,2018,Animasyon,130000,Japonya,Yaz,Yabancı
The Party,Sally Potter,7,2018,Dram,140000,İngiltere,Yaz,Yabancı
The Night Comes for Us,Timo Tjahjanto,7.1,2018,Dram,120000,Endonezya,Yaz,Yabancı
Shadow,Zhang Yimou,7.3,2018,Dram,240000,Çin,Yaz,Yabancı
One Cut of the Dead,Shinichirou Ueda,7.4,2018,Dram,130000,Japonya,Yaz,Yabancı
Eldorado,Markus Imhoof,7.5,2018,Dram,240000,İsviçre,Yaz,Yabancı
Happy End,Michael Haneke,7,2018,Dram,142000,Fransa,Yaz,Yabancı
Mon Mon Mon Monsters,Shinichirou Ueda,7.1,2018,Dram,130600,Japonya,Yaz,Yabancı
The Space Between,Ruth Borgobello,7.2,2018,Dram,144000,İtalya,Yaz,Yabancı
Avengers: Endgame,Anthony Russo/ Joe Russo,8.4,2019,Aksiyon,2514916,ABD,İlkbahar,Yabancı
The Lion King,Jon Favreau,7,2019,Animasyon,2570637,ABD,Yaz,Yabancı
Frozen II,Chris Buck/Jennifer Lee,7.5,2019,Animasyon,1241310,ABD,Sonbahar,Yabancı
Joker,Todd Phillips,7.4,2019,Dram,3349000,ABD,Sonbahar,Yabancı
Star Wars: Episode IX - The Rise of Skywalker,J.J. Abrams,6.5,2019,Bilim-Kurgu,2270637,ABD,Sonbahar,Yabancı
Captain Marvel,Anna Boden/ Ryan Fleck,7,2019,Aksiyon,1968239,ABD,İlkbahar,Yabancı
Toy Story 4,Josh Cooley,7.8,2019,Animasyon,1340008,ABD,Yaz,Yabancı
Spider-Man: Far from Home,Jon Watts,7.5,2019,Aksiyon,2315385,ABD,Yaz,Yabancı
Aladdin,Guy Ritchie,7,2019,Fantastik,555216,ABD,Yaz,Yabancı
Us,Jordan Peele,7.3,2019,Korku,1150880,ABD,Kış,Yabancı
The Lego Movie 2: The Second Part,Mike Mitchell/ Trisha Gum,6.7,2019,Animasyon,1105808,ABD,Kış,Yabancı
Shazam!,David F. Sandberg,6.5,2019,Bilim-Kurgu,2403756,ABD,İlkbahar,Yabancı
How to Train Your Dragon: The Hidden World,Dean DeBlois,7,2019,Animasyon,2160795,ABD,Kış,Yabancı
Detective Pikachu,Rob Letterman/David Lowery,6.5,2019,Bilim-Kurgu,1141346,ABD,İlkbahar,Yabancı
Once Upon a Time... in Hollywood,Quentin Tarantino,7.6,2019,Dram,2425028,ABD,Yaz,Yabancı
