Film Adı,Yönetmen,IMDb Puanı,Vizyona Giriş Yılı,Film Türü,Izleyici Sayısı,Ülke,Yayınlanma Mevsimi,Yerli/Yabancı
Bir Günün Ardında,Fatih Akın,7.6,2021,Romantik,35000,Türkiye,İlkbahar,Yerli
Geceye Giden Yol,Sinan Çetin,7.7,2021,Gerilim,40000,Türkiye,İlkbahar,Yerli
Zeytin Yolu,Yavuz Turgul,7.5,2022,Aksiyon,1230000,Türkiye,İlkbahar,Yerli
Ruhumun Sesi,Bülent Şakrak,7.6,2021,Romantik,35000,Türkiye,İlkbahar,Yerli
Sonsuz Zaman,Sinan Çetin,7.8,2022,Gerilim,1245000,Türkiye,İlkbahar,Yerli
Zeytin Dalında,Metin Erksan,7.7,2020,Romantik,40000,Türkiye,Sonbahar,Yerli
Geceyi Yakala,Sinan Çetin,7.8,2022,Gerilim,245000,Türkiye,İlkbahar,Yerli
Hayal Denizi,Serdar Akar,7.8,2021,Romantik,45000,Türkiye,Sonbahar,Yerli
Zeytin Rengi,Fatih Akın,7.5,2020,Romantik,30000,Türkiye,Sonbahar,Yerli
Bir Gün Sonra,Sinan Çetin,7.7,2021,Aksiyon,35000,Türkiye,Sonbahar,Yerli
Geceyi Buldum,Bülent Şakrak,7.6,2021,Gerilim,40000,Türkiye,Sonbahar,Yerli
Zeytinli Günler,Onur Ünlü,7.8,2022,Romantik,1250000,Türkiye,İlkbahar,Yerli
Sonsuz Aşk,Yavuz Turgul,7.7,2020,Romantik,45000,Türkiye,Sonbahar,Yerli
Fırtına Havası,Metin Erksan,7.6,2021,Aksiyon,35000,Türkiye,Sonbahar,Yerli
Başlangıç Noktası,Sinan Çetin,7.7,2022,Romantik,240000,Türkiye,İlkbahar,Yerli
Zeytin Bahçesi,Fatih Akın,7.5,2021,Gerilim,35000,Türkiye,Sonbahar,Yerli
Bir Adım Önce,Bülent Şakrak,7.8,2021,Romantik,45000,Türkiye,Sonbahar,Yerli
Zeytinli Yollar,Onur Ünlü,7.6,2020,Aksiyon,30000,Türkiye,Sonbahar,Yerli
Sonsuz Zaman,Yavuz Turgul,7.8,2021,Romantik,50000,Türkiye,Sonbahar,Yerli
Zeytinli Yıldızlar,Sinan Çetin,7.5,2020,Gerilim,40000,Türkiye,Sonbahar,Yerli
Başka Bir Zaman,Fatih Akın,7.7,2022,Aksiyon,1235000,Türkiye,İlkbahar,Yerli
Geceyi Özledim,Metin Erksan,7.6,2021,Romantik,45000,Türkiye,Sonbahar,Yerli
Bir Gece Yıldızlı,Bülent Şakrak,7.7,2020,Romantik,35000,Türkiye,Sonbahar,Yerli
Fırtınalı Günler,Sinan Çetin,7.6,2021,Gerilim,40000,Türkiye,Sonbahar,Yerli
Sonsuz Umut,Onur Ünlü,7.8,2021,Aksiyon,50000,Türkiye,Sonbahar,Yerli
Zeytinli Gün,Fatih Akın,7.5,2020,Romantik,35000,Türkiye,Sonbahar,Yerli
Geceyi Ararken,Yavuz Turgul,7.7,2022,Gerilim,1340000,Türkiye,İlkbahar,Yerli
Sonsuz Bir Yolculuk,Bülent Şakrak,7.8,2021,Romantik,45000,Türkiye,Sonbahar,Yerli
Başka Bir Duygu,Sinan Çetin,7.5,2022,Romantik,1435000,Türkiye,İlkbahar,Yerli
Zeytin Yolu,Onur Ünlü,7.6,2020,Aksiyon,40000,Türkiye,Sonbahar,Yerli
Fırtına Sonrası,Fatih Akın,7.7,2021,Gerilim,35000,Türkiye,Sonbahar,Yerli
Hayal Yolu,Yavuz Turgul,7.8,2022,Romantik,2545000,Türkiye,İlkbahar,Yerli
Sonsuz Günler,Metin Erksan,7.5,2021,Aksiyon,40000,Türkiye,Sonbahar,Yerli
Geceyi Kucakla,Bülent Şakrak,7.6,2020,Gerilim,35000,Türkiye,Sonbahar,Yerli
Zeytin Çiçekleri,Onur Ünlü,7.7,2021,Romantik,40000,Türkiye,Sonbahar,Yerli
Fırtınaya Karşı,Sinan Çetin,7.8,2022,Romantik,1545000,Türkiye,İlkbahar,Yerli
Zeytinli Sözler,Fatih Akın,7.5,2020,Aksiyon,30000,Türkiye,Sonbahar,Yerli
Sonsuz Düşler,Yavuz Turgul,7.6,2021,Gerilim,35000,Türkiye,Sonbahar,Yerli
Bir Umut Yolculuğu,Bülent Şakrak,7.7,2020,Romantik,40000,Türkiye,Sonbahar,Yerli
Fırtınada Aşk,Onur Ünlü,7.8,2021,Aksiyon,45000,Türkiye,Sonbahar,Yerli
Zeytin Gölgesi,Sinan Çetin,7.5,2020,Gerilim,35000,Türkiye,Sonbahar,Yerli
Sonsuz Gün Batımı,Metin Erksan,7.6,2021,Romantik,40000,Türkiye,Sonbahar,Yerli
Başka Bir Hayat,Fatih Akın,7.7,2021,Aksiyon,35000,Türkiye,Sonbahar,Yerli
Geceyi Uyandır,Yavuz Turgul,7.8,2022,Romantik,1645000,Türkiye,İlkbahar,Yerli
Zeytinli Gece,Sinan Çetin,7.5,2020,Gerilim,30000,Türkiye,Sonbahar,Yerli
Bir Anlık Yıldız,Bülent Şakrak,7.6,2021,Romantik,35000,Türkiye,Sonbahar,Yerli
Sonsuz Aşkı,Onur Ünlü,7.7,2020,Aksiyon,40000,Türkiye,Sonbahar,Yerli
Fırtına Aşkı,Fatih Akın,7.8,2021,Gerilim,45000,Türkiye,Sonbahar,Yerli
Zeytin Çiçeği,Yavuz Turgul,7.5,2020,Romantik,35000,Türkiye,Sonbahar,Yerli
Sonsuz Zamanı,Metin Erksan,7.6,2021,Romantik,40000,Türkiye,Sonbahar,Yerli
Geceyi Işılda,Sinan Çetin,7.8,2022,Aksiyon,1845000,Türkiye,İlkbahar,Yerli
Bir Gece Sonrası,Fatih Akın,7.7,2021,Gerilim,35000,Türkiye,Sonbahar,Yerli
Zeytin Dalında Aşk,Bülent Şakrak,7.6,2020,Romantik,30000,Türkiye,Sonbahar,Yerli
Sonsuz Gece,Onur Ünlü,7.8,2021,Romantik,45000,Türkiye,Sonbahar,Yerli
Sessizliğin Çığlığı,Kemal Akın,7.7,2014,Dram,40000,Türkiye,Kış,Yerli
Hayatın Renkleri,Emre Yılmaz,7.8,2013,Dram,230000,Türkiye,Sonbahar,Yerli
Uçan Adam,Neslihan Yılmaz,7.5,2017,Aksiyon,50000,Türkiye,Yaz,Yerli
Sonbahar Yıldızı,Cemil Özdemir,7.6,2016,Romantik,20000,Türkiye,Sonbahar,Yerli
Yolculuk,Gökhan Yıldız,7.9,2015,Macera,60000,Türkiye,Kış,Yerli
Bozkır Hikayeleri,Mehmet Yıldırım,7.4,2018,Dram,100000,Türkiye,Yaz,Yerli
Çekilen Gölge,Murat Çetin,7.3,2020,Gerilim,15000,Türkiye,Sonbahar,Yerli
İçimdeki Fırtına,Serdar Kılıç,8.0,2014,Dram,80000,Türkiye,Kış,Yerli
Zamanı Geçmiş,Haluk Demir,7.2,2016,Komedi,45000,Türkiye,Yaz,Yerli
Hayalet Kasaba,Fatih Keskin,7.6,2013,Gerilim,225000,Türkiye,Kış,Yerli
Yıldızlar Geceyi Bekler,Emre Çetin,7.8,2018,Romantik,250000,Türkiye,Yaz,Yerli
Geceye Yolculuk,Tayfun Aykan,7.7,2020,Dram,35000,Türkiye,Kış,Yerli
Kalp Düğümü,Seda Yılmaz,7.4,2012,Romantik,45000,Türkiye,Yaz,Yerli
Son Gün,Gökhan Arslan,7.5,2019,Gerilim,650000,Türkiye,Sonbahar,Yerli
İzler,Yusuf Erdoğan,7.9,2017,Dram,30000,Türkiye,Kış,Yerli
Hayat Boyu,Serdar Kaya,7.3,2018,Dram,2520000,Türkiye,Yaz,Yerli
Bir Adım Önde,Hakan Tuncer,8.1,2020,Aksiyon,40000,Türkiye,Kış,Yerli
Kanatlar,Mehmet Kılıç,7.6,2015,Macera,30000,Türkiye,Yaz,Yerli
Fırtınanın Ardında,Ali Rıza Gündoğdu,7.5,2014,Dram,935000,Türkiye,Sonbahar,Yerli
Çığlık,Halil Kara,7.4,2016,Gerilim,45000,Türkiye,Yaz,Yerli
Hayatın Ritmi,Murat Polat,7.8,2019,Komedi,650000,Türkiye,Yaz,Yerli
Geçmişin Ardında,Serhat Aydın,7.9,2015,Dram,40000,Türkiye,Kış,Yerli
Yalnız Yürekler,Gizem Özdemir,7.5,2014,Romantik,1630000,Türkiye,Sonbahar,Yerli
Sonraki Günler,Burak Koç,7.6,2018,Dram,2520000,Türkiye,Kış,Yerli
Zamanın Oğlu,Aylin Yılmaz,7.7,2019,Macera,635000,Türkiye,Yaz,Yerli
Beklenmeyen Konuk,Mustafa Yıldız,7.8,2020,Gerilim,45000,Türkiye,Sonbahar,Yerli
Yalnızlık,Emre Taşkın,7.5,2017,Romantik,50000,Türkiye,Yaz,Yerli
Son Günler,Beyhan Erkan,7.4,2014,Dram,6535000,Türkiye,Kış,Yerli
Zor Zamanlar,Ayhan Durmaz,7.6,2019,Aksiyon,640000,Türkiye,Sonbahar,Yerli
Kaybolan Zaman,Funda Altun,7.5,2016,Dram,20000,Türkiye,Kış,Yerli
Yıldızlar Arasında,İsmail Yalçın,7.7,2015,Macera,30000,Türkiye,Yaz,Yerli
Akşam Yıldızı,Hakan Uğur,7.8,2018,Romantik,2525000,Türkiye,Kış,Yerli
Bir Gün,Yusuf Demir,7.6,2019,Dram,630000,Türkiye,Yaz,Yerli
Zincir,Kemal Ergin,7.4,2014,Aksiyon,1535000,Türkiye,Yaz,Yerli
Sonsuz Sevda,Serdar Yılmaz,7.5,2017,Romantik,45000,Türkiye,Sonbahar,Yerli
Yalnızlık,Mehmet Altan,7.6,2019,Dram,635000,Türkiye,Kış,Yerli
Uyanış,Ayhan Kılıç,7.7,2016,Gerilim,30000,Türkiye,Sonbahar,Yerli
Yazgı,Hüseyin Çelik,7.8,2018,Dram,460000,Türkiye,Kış,Yerli
Bir İz,Feryal Batur,7.5,2015,Romantik,20000,Türkiye,Yaz,Yerli
Sonrası,Emin Kılıç,7.6,2019,Dram,635000,Türkiye,Sonbahar,Yerli
Yüce Dağ,Serkan Özdemir,7.7,2017,Macera,30000,Türkiye,Kış,Yerli
Hayaline Yolculuk,Cemil Kara,7.9,2015,Romantik,40000,Türkiye,Yaz,Yerli
Feryat,Beyza Yılmaz,7.6,2020,Dram,35000,Türkiye,Sonbahar,Yerli
Zamanı Geri Al,Ömer Çetin,7.5,2016,Aksiyon,50000,Türkiye,Yaz,Yerli
Boş Yıldızlar,Tayfun Karaca,7.8,2018,Dram,2360000,Türkiye,Kış,Yerli
Zorlu Yolda,Serdar Erdem,7.9,2014,Gerilim,545000,Türkiye,Sonbahar,Yerli
Geceyi Beklerken,Mehmet Hakan,7.7,2015,Dram,40000,Türkiye,Yaz,Yerli
Gece Yarısı Rüyası,Furkan Yılmaz,7.6,2017,Gerilim,250000,Türkiye,Yaz,Yerli
Son Umut,Murat Çetin,7.8,2016,Dram,45000,Türkiye,Kış,Yerli
Bir Hayal,Beyhan Kaya,7.5,2019,Romantik,635000,Türkiye,Sonbahar,Yerli
Son Akor,Ali Kılıç,7.7,2020,Müzikal,40000,Türkiye,Yaz,Yerli
Sonsuz Fırtına,Serdar Aydın,8.0,2015,Aksiyon,55000,Türkiye,Kış,Yerli
Zamanın Sonu,Fatih Akın,7.4,2018,Dram,620000,Türkiye,Sonbahar,Yerli
Kaybolan Ruhlar,Burak Kara,7.9,2017,Gerilim,260000,Türkiye,Yaz,Yerli
Zayıf Anlar,Serkan Erdem,7.5,2019,Dram,135000,Türkiye,Kış,Yerli
Yalnız Gece,Onur Yılmaz,7.6,2020,Romantik,25000,Türkiye,Sonbahar,Yerli
Zorlama,Ahmet Demir,7.3,2016,Aksiyon,30000,Türkiye,Kış,Yerli
Yolun Başında,Feyzi Yılmaz,7.8,2018,Dram,550000,Türkiye,Yaz,Yerli
Zihnimdeki Düşler,Serdar Erdoğan,7.5,2015,Romantik,40000,Türkiye,Sonbahar,Yerli
Kadın ve Çiçek,Burcu Yılmaz,7.7,2020,Dram,55000,Türkiye,Kış,Yerli
Yalnızlık Yolu,Cemil Koç,7.4,2019,Macera,630000,Türkiye,Yaz,Yerli
Ruhların Dansı,Murat Özdemir,7.8,2017,Gerilim,2245000,Türkiye,Sonbahar,Yerli
Yeniden Başla,İsmail Ünal,7.9,2015,Aksiyon,60000,Türkiye,Yaz,Yerli
Yasak Yollar,Ali Yılmaz,7.6,2020,Dram,35000,Türkiye,Kış,Yerli
İz Bırakanlar,Kadir Akın,7.7,2018,Komedi,550000,Türkiye,Yaz,Yerli
Fırtına İçinde,Hakan Yılmaz,7.5,2017,Dram,2345000,Türkiye,Sonbahar,Yerli
Çıkmaz Sokak,Mehmet Akif,7.8,2016,Gerilim,30000,Türkiye,Kış,Yerli
Son Akşam Yemeği,İsmail Arslan,7.4,2019,Dram,625000,Türkiye,Sonbahar,Yerli
Yalnız Geçmiş,Murat Kılıç,7.6,2020,Romantik,40000,Türkiye,Yaz,Yerli
Zamanın Kıyısında,Serdar Özdemir,7.8,2017,Macera,260000,Türkiye,Sonbahar,Yerli
Geceye Dönüş,Fatih Çelik,7.5,2015,Dram,35000,Türkiye,Kış,Yerli
Yıldızların Ardında,Burhan Kaya,7.9,2020,Romantik,50000,Türkiye,Yaz,Yerli
Son Perde,Haluk Atalay,7.6,2018,Gerilim,525000,Türkiye,Yaz,Yerli
Yok Olmuş Zaman,Gökhan Demir,7.5,2019,Dram,635000,Türkiye,Sonbahar,Yerli
İntikam Yolu,Serdar Kılıç,7.8,2016,Aksiyon,50000,Türkiye,Kış,Yerli
Hayal Kırıklığı,Hüseyin Yılmaz,7.4,2017,Romantik,2330000,Türkiye,Sonbahar,Yerli
Zihinsel Labirent,Murat Yıldız,7.7,2018,Gerilim,645000,Türkiye,Yaz,Yerli
Sonsuz Yalnızlık,Fatih Aydın,7.6,2020,Dram,40000,Türkiye,Kış,Yerli
Kaybolan Zaman,Onur Şahin,7.5,2015,Romantik,35000,Türkiye,Yaz,Yerli
Yıldızlar Düşer,Ali Can,7.8,2016,Dram,45000,Türkiye,Sonbahar,Yerli
Fırtına Bekleyişi,Beyhan Yılmaz,7.7,2017,Aksiyon,2350000,Türkiye,Yaz,Yerli
Zamanın Kıyısında,Ersin Demir,7.9,2019,Macera,660000,Türkiye,Kış,Yerli
Zırhlı Yolda,Ömer Kılıç,7.6,2020,Gerilim,40000,Türkiye,Sonbahar,Yerli
Sonsuz Gece,Kemal Taner,7.8,2018,Dram,655000,Türkiye,Yaz,Yerli
Yalnız Geceler,Serdar Güler,7.5,2015,Romantik,30000,Türkiye,Kış,Yerli
Bir Anlık Huzur,İbrahim Kara,7.6,2017,Aksiyon,2345000,Türkiye,Sonbahar,Yerli
Kaybolan Ruhlar,Serhan Yılmaz,7.9,2016,Gerilim,50000,Türkiye,Yaz,Yerli
İntikam,Mehmet Şahin,7.5,2020,Dram,35000,Türkiye,Kış,Yerli
Zamanın Çıkmazı,Tayfun Kara,7.7,2019,Romantik,625000,Türkiye,Sonbahar,Yerli
Bir Gün Sonra,Feyzi Uğur,7.6,2018,Gerilim,630000,Türkiye,Yaz,Yerli
Sonsuz Umut,Cemil Özdemir,7.8,2017,Dram,2350000,Türkiye,Kış,Yerli
Zamanı Beklerken,Serdar Erdem,7.5,2016,Romantik,40000,Türkiye,Yaz,Yerli
Bir Çığlık Gibi,Serdar Kaya,7.5,2019,Dram,635000,Türkiye,Sonbahar,Yerli
Yok Olmuş Dünya,Emre Tuncer,7.8,2016,Macera,40000,Türkiye,Yaz,Yerli
Son Akor,Ali Güler,7.6,2018,Müzikal,650000,Türkiye,Kış,Yerli
Geceyi Unut,Cemil Duman,7.7,2017,Aksiyon,2345000,Türkiye,Yaz,Yerli
Kaybolan Zaman,Murat Tekin,7.5,2015,Dram,25000,Türkiye,Kış,Yerli
Sonsuz Gece,İsmail Akpınar,7.9,2019,Gerilim,655000,Türkiye,Sonbahar,Yerli
İz Bırak,Burhan Kılıç,7.6,2020,Romantik,30000,Türkiye,Kış,Yerli
Yalnızlık Senfonisi,Ahmet Demir,7.8,2016,Dram,40000,Türkiye,Yaz,Yerli
Sonbahar Rüzgarı,Zeynep Güler,7.4,2018,Romantik,635000,Türkiye,Sonbahar,Yerli
Bir Çığlık Gibi,Serdar Cevher,7.7,2017,Dram,2345000,Türkiye,Yaz,Yerli
Son Akşam,Ahmet Yılmaz,7.9,2015,Gerilim,60000,Türkiye,Kış,Yerli
Gece Yarısı Hüzün,Murat Soydan,7.6,2019,Romantik,635000,Türkiye,Sonbahar,Yerli
Hayatın İçinden,Serdar Duman,7.7,2016,Dram,30000,Türkiye,Yaz,Yerli
Zamanın Ardında,Ali Onur,7.5,2018,Gerilim,640000,Türkiye,Kış,Yerli
Zorlu Yollar,Gökhan Yılmaz,7.8,2019,Aksiyon,650000,Türkiye,Yaz,Yerli
Fırtına Yolları,Veysel Yılmaz,7.6,2017,Macera,2325000,Türkiye,Sonbahar,Yerli
Yeniden Başla,Feyzi Arslan,7.5,2020,Dram,35000,Türkiye,Yaz,Yerli
Sonsuz Günler,Kemal Akın,7.8,2018,Romantik,465000,Türkiye,Kış,Yerli
Geceyi Terk Et,Serdar Çelik,7.4,2017,Gerilim,240000,Türkiye,Sonbahar,Yerli
Yıldızlar Geceyi Aydınlatıyor,Cemil Kılıç,7.7,2019,Macera,550000,Türkiye,Yaz,Yerli
Bir Gece Daha,İsmail Bayram,7.6,2016,Dram,30000,Türkiye,Kış,Yerli
Fırtına Yolu,Murat Kızıl,7.8,2020,Aksiyon,40000,Türkiye,Sonbahar,Yerli
Bir Hayalin Peşinde,Onur Aydın,7.5,2015,Romantik,25000,Türkiye,Yaz,Yerli
Kaybolan Zamanın Ardında,Serdar Gür,7.9,2019,Dram,560000,Türkiye,Kış,Yerli
Yalnızlığın Ortasında,Kemal Tunç,7.6,2017,Gerilim,2335000,Türkiye,Sonbahar,Yerli
Sonbahar Günleri,Veysel Öztürk,7.7,2018,Romantik,645000,Türkiye,Yaz,Yerli
Zamanın Yalnızlığı,Fatih Aslan,7.5,2020,Dram,130000,Türkiye,Kış,Yerli
Fırtınanın İçinde,Haluk Çelik,7.8,2016,Macera,50000,Türkiye,Yaz,Yerli
Geceyi Beklerken,Beyhan Güler,7.6,2017,Gerilim,2340000,Türkiye,Sonbahar,Yerli
Yıldızlar Arasında,Serhan Yılmaz,7.4,2015,Romantik,35000,Türkiye,Kış,Yerli
Kaybolmuş Hayaller,Emre Akpınar,7.7,2019,Aksiyon,555000,Türkiye,Yaz,Yerli
Zamanın Sonu,Ali Demir,7.5,2020,Dram,25000,Türkiye,Sonbahar,Yerli
Geceyi Unutmak,Murat Kızıl,7.9,2018,Gerilim,250000,Türkiye,Yaz,Yerli
Bir Gün Sonra,Serdar Çetin,7.6,2019,Romantik,540000,Türkiye,Kış,Yerli
Yalnızlık Günleri,Hüseyin Çelik,7.5,2017,Dram,2335000,Türkiye,Sonbahar,Yerli
Zeytin Çiçekleri,Sedef Yılmaz,7.8,2020,Macera,45000,Türkiye,Yaz,Yerli
Fırtınadan Sonra,İsmail Aydın,7.6,2016,Gerilim,30000,Türkiye,Kış,Yerli
Bir İz Bırak,Haluk Yılmaz,7.7,2017,Romantik,2340000,Türkiye,Sonbahar,Yerli
Kaybolan Yüzler,Kemal Yılmaz,7.5,2019,Dram,535000,Türkiye,Yaz,Yerli
Zamanın Ardında,Cemil Erdem,7.8,2020,Macera,45000,Türkiye,Kış,Yerli
Sonbahar Yolu,Emre Çelik,7.6,2018,Gerilim,250000,Türkiye,Sonbahar,Yerli
Yalnızlık Ve Sen,Ahmet Bayram,7.9,2017,Dram,2360000,Türkiye,Yaz,Yerli
Fırtınanın Ortasında,Mehmet Şahin,7.4,2016,Romantik,30000,Türkiye,Kış,Yerli
Geceyi Kucakla,Serdar Yılmaz,7.8,2019,Gerilim,5555000,Türkiye,Sonbahar,Yerli
Bir Kış Hikayesi,Kemal Yılmaz,7.5,2020,Dram,35000,Türkiye,Yaz,Yerli
Zamanın Kıyısında,Ahmet Gür,7.6,2018,Macera,245000,Türkiye,Kış,Yerli
Son Akor,Serdar Güler,7.7,2019,Aksiyon,50000,Türkiye,Yaz,Yerli
Yeniden Başla,Kemal Kara,7.6,2021,Dram,35000,Türkiye,Yaz,Yerli
Rüya İçinde,Serdar Yıldırım,7.8,2020,Romantik,40000,Türkiye,Kış,Yerli
Kaybolan Yüzler,Ahmet Mutlu,7.5,2019,Gerilim,530000,Türkiye,Sonbahar,Yerli
Sonsuz Savaş,Burhan Yılmaz,7.9,2021,Aksiyon,55000,Türkiye,Yaz,Yerli
Geceyi Aydınlatanlar,Murat Çelik,7.7,2020,Macera,45000,Türkiye,Sonbahar,Yerli
Zamanın İzinde,Veysel Aydın,7.6,2020,Dram,25000,Türkiye,Kış,Yerli
Yalnızlık,İsmail Erdem,7.5,2018,Romantik,320000,Türkiye,Yaz,Yerli
Fırtına Günü,Yusuf Bayram,7.8,2021,Aksiyon,40000,Türkiye,Sonbahar,Yerli
Başka Bir Dünya,Kemal Öztürk,7.9,2019,Dram,560000,Türkiye,Kış,Yerli
Bir Gece Daha,Mehmet Yılmaz,7.7,2020,Gerilim,35000,Türkiye,Yaz,Yerli
Zeytin Dalı,Emre Altun,7.6,2019,Romantik,545000,Türkiye,Sonbahar,Yerli
İz Bırakanlar,Serdar Bayram,7.8,2020,Macera,40000,Türkiye,Kış,Yerli
Sonsuz Hayat,Cemil Yılmaz,7.9,2021,Aksiyon,55000,Türkiye,Yaz,Yerli
Geceyi Beklerken,Seda Yıldız,7.5,2019,Dram,525000,Türkiye,Sonbahar,Yerli
Bir Gün Daha,Onur Erdem,7.7,2020,Romantik,30000,Türkiye,Yaz,Yerli
Zamanın Arasında,Tuncay Akpınar,7.8,2018,Gerilim,140000,Türkiye,Kış,Yerli
Zor Zamanlar,Beyhan Şahin,7.6,2019,Dram,535000,Türkiye,Sonbahar,Yerli
Son Akşam Yemeği,Emre Yılmaz,7.5,2021,Romantik,30000,Türkiye,Yaz,Yerli
Bir Yıldız Doğuyor,Fatih Aksoy,7.7,2020,Macera,45000,Türkiye,Kış,Yerli
Kaybolan Yollar,Serdar Demir,7.9,2019,Aksiyon,555000,Türkiye,Sonbahar,Yerli
Yalnız Değilsin,Mehmet Cevher,7.6,2020,Gerilim,35000,Türkiye,Kış,Yerli
Zeytin Çiçekleri,Ali Tanrıverdi,7.7,2021,Romantik,40000,Türkiye,Yaz,Yerli
Fırtına Sonrası,Burhan Demir,7.5,2020,Dram,25000,Türkiye,Sonbahar,Yerli
Son Akor,Ahmet Arslan,7.6,2020,Aksiyon,35000,Türkiye,Kış,Yerli
Zamanın Gölgesinde,Cemil Güler,7.9,2019,Macera,550000,Türkiye,Yaz,Yerli
Başka Bir Hayat,İsmail Şahin,7.8,2021,Romantik,45000,Türkiye,Sonbahar,Yerli
Geceyi Düşlerken,Kemal Yıldız,7.7,2020,Dram,35000,Türkiye,Kış,Yerli
Sonsuz Karşılaşma,Murat Çınar,7.6,2021,Gerilim,30000,Türkiye,Sonbahar,Yerli
Yıldızlar Arasında,Onur Yılmaz,7.8,2020,Aksiyon,50000,Türkiye,Yaz,Yerli
Fırtınalı Günler,Serhan Cevher,7.5,2019,Romantik,525000,Türkiye,Kış,Yerli
Kaybolan Zamanın Ardında,Ali Cevher,7.6,2020,Dram,40000,Türkiye,Sonbahar,Yerli
Geceyi Aydınlatanlar,Kemal Öztürk,7.8,2020,Gerilim,55000,Türkiye,Sonbahar,Yerli
Başka Bir Dünya,Serhan Güler,7.5,2020,Romantik,30000,Türkiye,Yaz,Yerli
Son Akşam Yemeği,Yusuf Demir,7.9,2021,Aksiyon,60000,Türkiye,Kış,Yerli
Bir Gece Daha,Hüseyin Arslan,7.6,2020,Macera,35000,Türkiye,Yaz,Yerli
Yalnızlık Sarmalı,Emre Şahin,7.5,2020,Gerilim,25000,Türkiye,Sonbahar,Yerli
Zeytin Çiçekleri,Haluk Öztürk,7.7,2021,Romantik,40000,Türkiye,Kış,Yerli
Bir Yıldız Kaydı,Serdar Yıldız,7.6,2021,Aksiyon,35000,Türkiye,Kış,Yerli
Geceyi Beklerken,Feyzi Kılıç,7.9,2020,Macera,60000,Türkiye,Yaz,Yerli
Kaybolan Hayatlar,Mehmet Cevher,7.7,2020,Gerilim,40000,Türkiye,Kış,Yerli
Zeytin Dalı,Murat Gür,7.5,2021,Romantik,25000,Türkiye,Sonbahar,Yerli
Fırtına Sonrası,Ali Aydın,7.6,2020,Aksiyon,30000,Türkiye,Yaz,Yerli
Geceyi Unut,Cemil Aydın,7.8,2020,Gerilim,50000,Türkiye,Kış,Yerli
Başka Bir Hayat,Serdar Bayram,7.6,2021,Romantik,35000,Türkiye,Yaz,Yerli
Zeytin Çiçekleri,Veysel Arslan,7.7,2020,Macera,40000,Türkiye,Kış,Yerli
Sonsuz Gece,İsmail Gür,7.5,2021,Dram,30000,Türkiye,Sonbahar,Yerli
Bir Gün Daha,Fatih Arslan,7.6,2021,Dram,35000,Türkiye,Sonbahar,Yerli
Zeytin Dalı,Cemil Güngör,7.7,2020,Aksiyon,45000,Türkiye,Yaz,Yerli
Başka Bir Zaman,Serdar Yıldırım,7.8,2021,Romantik,50000,Türkiye,Kış,Yerli
Sonsuz Günler,Murat Aydın,7.6,2021,Gerilim,40000,Türkiye,Yaz,Yerli
Geceyi Beklerken,Hüseyin Yılmaz,7.5,2020,Dram,30000,Türkiye,Kış,Yerli
Yalnız Değilsin,Burhan Güler,7.8,2021,Romantik,45000,Türkiye,Sonbahar,Yerli
Fırtınalı Akşamlar,İsmail Çelik,7.9,2020,Aksiyon,50000,Türkiye,Yaz,Yerli
Zeytin Bahçesi,Emre Özdemir,7.6,2021,Gerilim,35000,Türkiye,Kış,Yerli
Geceyi Aydınlatanlar,Mustafa Demir,7.5,2020,Macera,30000,Türkiye,Sonbahar,Yerli
Sonsuz Kış,Cemal Aydın,7.7,2020,Dram,40000,Türkiye,Yaz,Yerli
Bir Rüya Gibi,Murat Yılmaz,7.6,2021,Romantik,35000,Türkiye,Kış,Yerli
Başka Bir Yıldız,Serdar Öztürk,7.9,2020,Aksiyon,60000,Türkiye,Yaz,Yerli
Zeytin Kolu,Serhan Demir,7.8,2021,Macera,50000,Türkiye,Kış,Yerli
Bir Gece Sonra,Mehmet Öztürk,7.6,2021,Dram,40000,Türkiye,Sonbahar,Yerli
Yalnız Bir Gece,Tuncay Yıldırım,7.5,2020,Romantik,35000,Türkiye,Kış,Yerli
Geceyi Sevmek,Seda Yılmaz,7.7,2020,Aksiyon,45000,Türkiye,Sonbahar,Yerli
Sonsuz Düşler,Serdar Karaca,7.9,2020,Gerilim,50000,Türkiye,Yaz,Yerli
Zeytin Çiçekleri,Emre Şahin,7.8,2021,Romantik,55000,Türkiye,Yaz,Yerli
Bir Yıldız Kaydı,Feyzi Yıldız,7.6,2020,Macera,30000,Türkiye,Sonbahar,Yerli
Geceyi Ararken,Kemal Öztürk,7.5,2021,Aksiyon,35000,Türkiye,Yaz,Yerli
Sonsuz Uyanış,Fatih Arslan,7.9,2020,Gerilim,60000,Türkiye,Kış,Yerli
Başka Bir Dünya,Hüseyin Bayram,7.8,2021,Dram,45000,Türkiye,Sonbahar,Yerli
Zeytin Koyu,Serdar Yıldırım,7.6,2021,Romantik,35000,Türkiye,Kış,Yerli
Geceyi Düşlerken,Murat Arslan,7.7,2020,Macera,40000,Türkiye,Yaz,Yerli
Bir Yıldız Doğuyor,Emre Güler,7.5,2020,Aksiyon,25000,Türkiye,Kış,Yerli
Sonsuz Sevgiler,Serhan Güler,7.8,2021,Romantik,50000,Türkiye,Sonbahar,Yerli
Zeytin Dağları,Mustafa Gür,7.7,2020,Gerilim,40000,Türkiye,Yaz,Yerli
